PointInTime,InterbankRate,InverseInterbankRate
20150911,0.822854,1.215282
20150912,0.822574,1.215696
20150913,0.82257,1.215702
20150914,0.82257,1.215702
20150915,0.82166,1.217049
20150916,0.821926,1.216654
20150917,0.822028,1.216504
20150918,0.821414,1.217413
20150919,0.821196,1.217736
20150920,0.821195,1.217737
20150921,0.821189,1.217746
20150922,0.821808,1.216829
20150923,0.822703,1.215506
20150924,0.823697,1.214038
20150925,0.823603,1.214178
20150926,0.822457,1.21587
20150927,0.822416,1.21593
20150928,0.822416,1.21593
20150929,0.821738,1.216933
20150930,0.821103,1.217874
20151001,0.820244,1.219149
20151002,0.820136,1.21931
20151003,0.820137,1.219308
20151004,0.820138,1.219307
20151005,0.820138,1.219307
20151006,0.820136,1.21931
20151007,0.820127,1.219324
20151008,0.820133,1.219315
20151009,0.819801,1.219809
20151010,0.818744,1.221384
20151011,0.818738,1.221392
20151012,0.818738,1.221392
20151013,0.815865,1.225693
20151014,0.818357,1.221961
20151015,0.819052,1.220923
20151016,0.81886,1.22121
20151017,0.819687,1.219978
20151018,0.81969,1.219973
20151019,0.81969,1.219973
20151020,0.820653,1.218542
20151021,0.81913,1.220808
20151022,0.819215,1.22068
20151023,0.820371,1.218961
20151024,0.819232,1.220656
20151025,0.819232,1.220656
20151026,0.819218,1.220677
20151027,0.819762,1.219866
20151028,0.819762,1.219866
20151029,0.82055,1.218695
20151030,0.820215,1.219193
20151031,0.815219,1.226665
20151101,0.815178,1.226726
20151102,0.815178,1.226726
20151103,0.817696,1.222949
20151104,0.817536,1.223188
20151105,0.817489,1.223259
20151106,0.818738,1.221392
20151107,0.819607,1.220096
20151108,0.819702,1.219956
20151109,0.819702,1.219956
20151110,0.820725,1.218435
20151111,0.820747,1.218403
20151112,0.821511,1.21727
20151113,0.821828,1.2168
20151114,0.822275,1.216138
20151115,0.822288,1.216119
20151116,0.822288,1.216119
20151117,0.82194,1.216633
20151118,0.822999,1.215068
20151119,0.823796,1.213892
20151120,0.823595,1.214189
20151121,0.823867,1.213789
20151122,0.82385,1.213814
20151123,0.82385,1.213814
20151124,0.824407,1.212994
20151125,0.824474,1.212894
20151126,0.824347,1.213081
20151127,0.824415,1.212981
20151128,0.825126,1.211936
20151129,0.825087,1.211994
20151130,0.825087,1.211994
20151201,0.825269,1.211726
20151202,0.825431,1.211488
20151203,0.825608,1.211229
20151204,0.825471,1.21143
20151205,0.82594,1.210742
20151206,0.825938,1.210745
20151207,0.825938,1.210745
20151208,0.826855,1.209402
20151209,0.827934,1.207825
20151210,0.829374,1.205729
20151211,0.830661,1.20386
20151212,0.83288,1.200653
20151213,0.83288,1.200653
20151214,0.83288,1.200653
20151215,0.833331,1.200003
20151216,0.83363,1.199573
20151217,0.835224,1.197284
20151218,0.836319,1.195715
20151219,0.836026,1.196135
20151220,0.836021,1.196143
20151221,0.836021,1.196143
20151222,0.835965,1.196223
20151223,0.835738,1.196547
20151224,0.835826,1.196421
20151225,0.835629,1.196703
20151226,0.835662,1.196656
20151227,0.835608,1.196733
20151228,0.835608,1.196733
20151229,0.837158,1.194517
20151230,0.836733,1.195124
20151231,0.837524,1.193996
20160101,0.837804,1.193596
20160102,0.837799,1.193603
20160103,0.837799,1.193603
20160104,0.837799,1.193603
20160105,0.843195,1.185965
